"localidade","cases","death","date"
"Saint Martin","3","","2020/3/18 21:51"
"Tanzania","3","","2020/3/18 21:51"
"Sudan","2","1","2020/3/18 21:51"
"Barbados","2","","2020/3/18 21:51"
"Benin","2","","2020/3/18 21:51"
"Bermuda","2","","2020/3/18 21:51"
"Greenland","2","","2020/3/18 21:51"
"Liberia","2","","2020/3/18 21:51"
"Mauritania","2","","2020/3/18 21:51"
"Namibia","2","","2020/3/18 21:51"
"New Caledonia","2","","2020/3/18 21:51"
"Saint Lucia","2","","2020/3/18 21:51"
"U.S. Virgin Islands","2","","2020/3/18 21:51"
"Zambia","2","","2020/3/18 21:51"
"Cayman Islands","1","1","2020/3/18 21:51"
"Nepal","1","","2020/3/18 21:51"
"Antigua and Barbuda","1","","2020/3/18 21:51"
"Bahamas","1","","2020/3/18 21:51"
"Bhutan","1","","2020/3/18 21:51"
"CAR","1","","2020/3/18 21:51"
"Congo","1","","2020/3/18 21:51"
"Djibouti","1","","2020/3/18 21:51"
"Gambia","1","","2020/3/18 21:51"
"Guinea","1","","2020/3/18 21:51"
"Vatican City","1","","2020/3/18 21:51"
"Montserrat","1","","2020/3/18 21:51"
"St. Vincent Grenadines","1","","2020/3/18 21:51"
"Sint Maarten","1","","2020/3/18 21:51"
"Somalia","1","","2020/3/18 21:51"
"Suriname","1","","2020/3/18 21:51"
"Eswatini","1","","2020/3/18 21:51"
"Togo","1","","2020/3/18 21:51"
"Total:","218,768","8,944","2020/3/18 21:51"
"China","80,894","3,237","2020/3/18 21:51"
"Italy","31,506","2,503","2020/3/18 21:51"
"Iran","16,169","988","2020/3/18 21:51"
"Spain","11,826","533","2020/3/18 21:51"
"Germany","9,367","26","2020/3/18 21:51"
"S. Korea","8,320","81","2020/3/18 21:51"
"France","7,730","175","2020/3/18 21:51"
"USA","6,411","109","2020/3/18 21:51"
"Switzerland","2,742","27","2020/3/18 21:51"
"UK","1,950","71","2020/3/18 21:51"
"Netherlands","1,705","43","2020/3/18 21:51"
"Norway","1,471","3","2020/3/18 21:51"
"Austria","1,332","4","2020/3/18 21:51"
"Belgium","1,243","10","2020/3/18 21:51"
"Sweden","1,196","8","2020/3/18 21:51"
"Denmark","977","4","2020/3/18 21:51"
"Japan","878","29","2020/3/18 21:51"
"Diamond Princess","712","7","2020/3/18 21:51"
"Malaysia","673","2","2020/3/18 21:51"
"Canada","598","8","2020/3/18 21:51"
"Australia","455","5","2020/3/18 21:51"
"Portugal","448","1","2020/3/18 21:51"
"Qatar","442","","2020/3/18 21:51"
"Czechia","434","","2020/3/18 21:51"
"Greece","387","5","2020/3/18 21:51"
"Brazil","346","1","2020/3/18 21:51"
"Israel","337","","2020/3/18 21:51"
"Finland","322","","2020/3/18 21:51"
"Ireland","292","2","2020/3/18 21:51"
"Slovenia","275","1","2020/3/18 21:51"
"Singapore","266","","2020/3/18 21:51"
"Iceland","247","","2020/3/18 21:51"
"Pakistan","247","","2020/3/18 21:51"
"Bahrain","241","1","2020/3/18 21:51"
"Poland","238","5","2020/3/18 21:51"
"Estonia","225","","2020/3/18 21:51"
"Romania","217","","2020/3/18 21:51"
"Chile","201","","2020/3/18 21:51"
"Egypt","196","6","2020/3/18 21:51"
"Philippines","187","14","2020/3/18 21:51"
"Thailand","177","1","2020/3/18 21:51"
"Indonesia","172","7","2020/3/18 21:51"
"Saudi Arabia","171","","2020/3/18 21:51"
"Hong Kong","168","4","2020/3/18 21:51"
"Iraq","154","11","2020/3/18 21:51"
"India","143","3","2020/3/18 21:51"
"Luxembourg","140","1","2020/3/18 21:51"
"Kuwait","130","","2020/3/18 21:51"
"Lebanon","124","4","2020/3/18 21:51"
"San Marino","119","11","2020/3/18 21:51"
"Peru","117","","2020/3/18 21:51"
"Russia","114","","2020/3/18 21:51"
"UAE","113","","2020/3/18 21:51"
"Ecuador","111","2","2020/3/18 21:51"
"Turkey","98","1","2020/3/18 21:51"
"Slovakia","97","","2020/3/18 21:51"
"South Africa","85","","2020/3/18 21:51"
"Mexico","82","","2020/3/18 21:51"
"Bulgaria","81","2","2020/3/18 21:51"
"Argentina","79","2","2020/3/18 21:51"
"Armenia","78","","2020/3/18 21:51"
"Taiwan","77","1","2020/3/18 21:51"
"Serbia","72","","2020/3/18 21:51"
"Panama","69","1","2020/3/18 21:51"
"Croatia","69","","2020/3/18 21:51"
"Vietnam","66","","2020/3/18 21:51"
"Colombia","65","","2020/3/18 21:51"
"Algeria","61","5","2020/3/18 21:51"
"Latvia","60","","2020/3/18 21:51"
"Brunei","56","","2020/3/18 21:51"
"Albania","55","1","2020/3/18 21:51"
"Hungary","50","1","2020/3/18 21:51"
"Costa Rica","50","","2020/3/18 21:51"
"Uruguay","50","","2020/3/18 21:51"
"Cyprus","49","","2020/3/18 21:51"
"Jordan","48","","2020/3/18 21:51"
"Faeroe Islands","47","","2020/3/18 21:51"
"Morocco","44","2","2020/3/18 21:51"
"Sri Lanka","44","","2020/3/18 21:51"
"Palestine","44","","2020/3/18 21:51"
"Andorra","39","","2020/3/18 21:51"
"Malta","38","","2020/3/18 21:51"
"Belarus","36","","2020/3/18 21:51"
"Azerbaijan","34","1","2020/3/18 21:51"
"Georgia","34","","2020/3/18 21:51"
"Bosnia and Herzegovina","34","","2020/3/18 21:51"
"Cambodia","33","","2020/3/18 21:51"
"Oman","33","","2020/3/18 21:51"
"Kazakhstan","33","","2020/3/18 21:51"
"Venezuela","33","","2020/3/18 21:51"
"North Macedonia","31","","2020/3/18 21:51"
"Moldova","30","","2020/3/18 21:51"
"Senegal","27","","2020/3/18 21:51"
"Tunisia","27","","2020/3/18 21:51"
"Lithuania","26","","2020/3/18 21:51"
"Afghanistan","22","","2020/3/18 21:51"
"Dominican Republic","21","1","2020/3/18 21:51"
"New Zealand","20","","2020/3/18 21:51"
"Liechtenstein","19","","2020/3/18 21:51"
"Guadeloupe","18","","2020/3/18 21:51"
"Martinique","15","1","2020/3/18 21:51"
"Burkina Faso","15","","2020/3/18 21:51"
"Ukraine","14","2","2020/3/18 21:51"
"Macao","13","","2020/3/18 21:51"
"Jamaica","13","","2020/3/18 21:51"
"Maldives","13","","2020/3/18 21:51"
"Bolivia","12","","2020/3/18 21:51"
"French Guiana","11","","2020/3/18 21:51"
"Uzbekistan","11","","2020/3/18 21:51"
"Bangladesh","10","","2020/3/18 21:51"
"Cameroon","10","","2020/3/18 21:51"
"Monaco","9","","2020/3/18 21:51"
"Paraguay","9","","2020/3/18 21:51"
"Réunion","9","","2020/3/18 21:51"
"Guatemala","8","1","2020/3/18 21:51"
"Honduras","8","","2020/3/18 21:51"
"Guyana","7","1","2020/3/18 21:51"
"Cuba","7","","2020/3/18 21:51"
"Ghana","7","","2020/3/18 21:51"
"Rwanda","7","","2020/3/18 21:51"
"Channel Islands","6","","2020/3/18 21:51"
"Ethiopia","6","","2020/3/18 21:51"
"Guam","5","","2020/3/18 21:51"
"Mongolia","5","","2020/3/18 21:51"
"Puerto Rico","5","","2020/3/18 21:51"
"Trinidad and Tobago","5","","2020/3/18 21:51"
"Ivory Coast","4","","2020/3/18 21:51"
"Kenya","4","","2020/3/18 21:51"
"Seychelles","4","","2020/3/18 21:51"
"Nigeria","3","","2020/3/18 21:51"
"Aruba","3","","2020/3/18 21:51"
"Curaçao","3","","2020/3/18 21:51"
"DRC","3","","2020/3/18 21:51"
"French Polynesia","3","","2020/3/18 21:51"
"Gabon","3","","2020/3/18 21:51"
"Gibraltar","3","","2020/3/18 21:51"
"Mayotte","3","","2020/3/18 21:51"
"St. Barth","3","","2020/3/18 21:51"
"Barbados","2","","2020/3/18 21:51"
"Liberia","2","","2020/3/18 21:51"
"Montenegro","2","","2020/3/18 21:51"
"Namibia","2","","2020/3/18 21:51"
"Saint Lucia","2","","2020/3/18 21:51"
"Saint Martin","2","","2020/3/18 21:51"
"U.S. Virgin Islands","2","","2020/3/18 21:51"
"Cayman Islands","1","1","2020/3/18 21:51"
"Sudan","1","1","2020/3/18 21:51"
"Nepal","1","","2020/3/18 21:51"
"Antigua and Barbuda","1","","2020/3/18 21:51"
"Bahamas","1","","2020/3/18 21:51"
"Benin","1","","2020/3/18 21:51"
"Bhutan","1","","2020/3/18 21:51"
"CAR","1","","2020/3/18 21:51"
"Congo","1","","2020/3/18 21:51"
"Equatorial Guinea","1","","2020/3/18 21:51"
"Gambia","1","","2020/3/18 21:51"
"Greenland","1","","2020/3/18 21:51"
"Guinea","1","","2020/3/18 21:51"
"Vatican City","1","","2020/3/18 21:51"
"Mauritania","1","","2020/3/18 21:51"
"St. Vincent Grenadines","1","","2020/3/18 21:51"
"Somalia","1","","2020/3/18 21:51"
"Suriname","1","","2020/3/18 21:51"
"Eswatini","1","","2020/3/18 21:51"
"Tanzania","1","","2020/3/18 21:51"
"Togo","1","","2020/3/18 21:51"
"Total:","198,234","7,978","2020/3/18 21:51"
